	ENG_e	FR_e	eng_stem	fr_stem	ratio_similarity
0	abalone	ormeau	abalon	ormeau	17
1	abase	humilier	abas	humili	0
2	abate	diminuer	abat	diminu	0
3	abbe	abbé	abb	abbé	86
4	abbreviate	abréger	abbrevi	abreg	67
5	abdicate	abdiquer	abdic	abdiqu	73
6	abe	abe	abe	abe	100
7	abele	abele	abel	abel	100
8	abeyance	situation en suspens	abey	situation en suspen	17
9	abhorrence	horreur	abhorr	horreur	62
10	abide	se conformer	abid	se conform	0
11	abjure	abjurer	abjur	abjur	100
12	ablate	ablaté	ablat	ablat	100
13	ablative	ablatif	abl	ablat	75
14	ablaze	en feu	ablaz	en feu	0
15	able	pouvoir	abl	pouvoir	0
16	abode	demeure	abod	demeur	20
17	abominable	abominable	abomin	abomin	100
18	abominate	abominer	abomin	abomin	100
19	abortive	abortif	abort	abort	100
20	above	au dessus	abov	au dessus	15
21	abrasive	abrasif	abras	abras	100
22	abridge	abréger	abridg	abreg	73
23	abrogate	abroger	abrog	abrog	100
24	abscissae	abscisses	abscissa	absciss	93
25	absence	absence	absenc	absenc	100
26	absentee	absent	absente	absent	92
27	absolute	absolu	absolut	absolu	92
28	absolve	absoudre	absolv	absoudr	62
29	absorptive	absorbant	absorpt	absorb	77
30	abstinence	abstinence	abstin	abstinent	80
31	abstruse	abstrus	abstrus	abstrus	100
32	abundance	abondance	abund	abond	80
33	abuse	abuser de	abus	abuser d	67
34	abusive	injurieux	abus	injuri	20
35	academe	université	academ	univers	15
36	accede	adhérer	acced	adher	40
37	accelerate	accélérer	acceler	accéler	86
38	accentuate	accentuer	accentu	accentu	100
39	acceptable	acceptable	accept	accept	100
40	acceptance	acceptation	accept	accept	100
41	accessible	accessible	access	accessibl	80
42	accidence	accident	accid	accident	77
43	accidentprone	accidentel	accidentpron	accidentel	73
44	acclimatise	s'acclimater	acclimatis	s'acclimat	80
45	accolade	accolade	accolad	accolad	100
46	accommodate	accommoder	accommod	accommod	100
47	accomplice	complice	accomplic	complic	88
48	accordance	conformité	accord	conform	46
49	accountable	redevable	account	redev	0
